City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Tefé,BR,-3.3542,-64.7114,1619514450,100,99,22.46,0.78
Kruisfontein,ZA,-34.0033,24.7314,1619514619,34,54,24.44,1.79
Kamloops,CA,50.6665,-120.3192,1619514619,1,65,6.0,2.57
Chokurdakh,RU,70.6333,147.9167,1619514619,100,93,-5.65,2.65
Kikwit,CD,-5.041,18.8162,1619514619,100,59,30.19,0.77
Panguna,PG,-6.3164,155.4848,1619514619,98,95,20.94,0.39
Mnogovershinnyy,RU,53.9353,139.9242,1619514620,100,91,2.51,1.34
Balyqshy,KZ,47.0667,51.8667,1619514495,75,67,16.0,9.0
Paragominas,BR,-2.9667,-47.4833,1619514434,77,98,21.4,0.62
Changping,CN,40.2186,116.2197,1619514620,0,11,22.0,10.0
Weymouth,US,42.2209,-70.9398,1619514477,38,48,7.22,6.17
Bahir Dar,ET,11.5936,37.3908,1619514420,80,53,22.4,0.77
Puri,IN,19.8,85.85,1619514449,20,35,39.0,2.06
Pyaozerskiy,RU,65.8333,31.1667,1619514626,100,73,1.45,0.32
Siilinjärvi,FI,63.0833,27.6667,1619514493,90,60,2.0,3.6
Iraray,PH,8.9936,118.0511,1619514626,41,71,28.71,3.1
Botngård,NO,63.7653,9.8111,1619514626,75,75,4.0,3.6
Pokhara,NP,28.2333,83.9833,1619514443,3,9,35.69,4.35
Ponta Delgada,PT,37.7333,-25.6667,1619514505,75,82,15.0,4.12
Punta Alta,AR,-38.8759,-62.0736,1619514485,2,75,12.81,4.34
Northam,GB,51.0333,-4.2167,1619514516,8,82,12.78,2.68
Neuquén,AR,-38.9516,-68.0591,1619514627,43,100,7.0,0.86
Comodoro Rivadavia,AR,-45.8667,-67.5,1619514456,0,48,17.0,9.26
Lorengau,PG,-2.0226,147.2712,1619514627,98,73,27.99,3.3
Kulu,TR,39.0951,33.0799,1619514513,5,46,14.54,1.63
Channel-Port aux Basques,CA,47.5702,-59.1367,1619514637,100,98,3.6,3.17
Japura,ID,-0.3167,102.35,1619514638,99,77,28.51,1.22
Arlit,NE,18.7369,7.3853,1619514638,61,6,38.83,2.99
Hakui,JP,36.8833,136.7833,1619514638,0,30,19.0,2.06
Luanda,AO,-8.8368,13.2343,1619514470,40,70,30.0,2.57
Marsabit,KE,2.3284,37.9899,1619514512,100,53,24.41,4.52
Antofagasta,CL,-23.65,-70.4,1619514642,0,72,14.0,1.03
Puerto del Rosario,ES,28.5004,-13.8627,1619514642,20,64,21.0,2.57
Cabinda,AO,-5.55,12.2,1619514642,40,79,30.0,1.54
Ketchikan,US,55.3422,-131.6461,1619514642,1,75,6.0,2.57
Blacksburg,US,37.2296,-80.4139,1619514472,1,87,9.0,1.49
Laas,IT,46.6166,10.7002,1619514643,90,100,13.0,3.09
Isangel,VU,-19.55,169.2667,1619514643,84,75,24.24,7.83
Novosheshminsk,RU,55.0651,51.2338,1619514643,100,45,10.71,3.73
Codó,BR,-4.4553,-43.8856,1619514508,48,98,21.99,0.5
Alta Floresta,BR,-9.8756,-56.0861,1619514643,100,98,20.56,1.37
Vilhena,BR,-12.7406,-60.1458,1619514644,47,98,17.23,1.24
Amahai,ID,-3.3333,128.9167,1619514644,13,67,27.5,1.76
Srednekolymsk,RU,67.45,153.6833,1619514644,23,88,-4.99,2.36
Shumskiy,RU,54.8318,99.1328,1619514644,91,81,5.69,0.9
Ubari,LY,26.5921,12.7805,1619514644,42,11,34.1,7.08
Kyra,RU,49.5776,111.9753,1619514644,100,32,3.58,10.53
Urucará,BR,-2.5364,-57.76,1619514644,100,98,22.11,0.46
Ibrā’,OM,22.6906,58.5334,1619514461,98,10,36.91,4.66
Almirante,PA,9.3,-82.4,1619514645,92,74,17.78,4.02
Kintampo,GH,8.0563,-1.7306,1619514645,91,70,27.89,2.9
Alekseyevsk,RU,57.8406,108.3492,1619514645,100,55,-0.3,3.62
Katangli,RU,51.7102,143.2326,1619514645,99,82,-0.69,6.14
Kinshasa,CD,-4.3246,15.3215,1619514645,40,74,29.0,3.6
Portland,US,45.5234,-122.6762,1619514645,90,81,9.44,4.12
Ardakān,IR,32.31,54.0175,1619514463,20,16,31.0,3.09
Fare,PF,-16.7,-151.0167,1619514646,5,70,27.34,3.56
Chifeng,CN,42.2683,118.9636,1619514646,100,13,14.23,9.08
Abalak,RU,58.1286,68.5944,1619514646,76,35,13.31,6.6
Fukuechō,JP,32.6881,128.8419,1619514647,75,73,20.0,6.17
Innisfail,AU,-17.5333,146.0333,1619514647,96,69,22.96,3.8
Bubaque,GW,11.2833,-15.8333,1619514647,8,64,25.4,3.34
Okha,RU,53.5739,142.9478,1619514647,90,84,-0.69,6.43
Awjilah,LY,29.1081,21.2869,1619514647,0,18,27.26,3.15
North Bend,US,43.4065,-124.2243,1619514647,90,100,6.67,2.06
Storm Lake,US,42.6411,-95.2097,1619514647,40,87,9.0,8.23
Boundiali,CI,9.5217,-6.4869,1619514437,91,64,28.03,4.07
Malinyi,TZ,-8.9333,36.1333,1619514460,51,74,28.19,0.38
Chapais,CA,49.7834,-74.8492,1619514648,1,74,-3.0,4.63
San Miguel de Cozumel,MX,20.5083,-86.9458,1619514419,40,83,25.0,2.06
Batán,CR,10.0844,-83.341,1619514648,70,90,23.46,0.81
Shetpe,KZ,44.1667,52.1167,1619514648,100,46,19.29,10.03
Mossendjo,CG,-2.9506,12.7261,1619514489,92,68,27.97,1.3
Dubai,AE,25.2582,55.3047,1619514155,0,16,40.0,4.63
San Javier,ES,37.8063,-0.8374,1619514497,0,72,22.22,2.06
Maningrida,AU,-12.0667,134.2667,1619514649,100,94,24.89,2.24
Suntar,RU,62.1444,117.6319,1619514649,100,56,-1.83,3.55
Teya,RU,60.3778,92.6267,1619514659,93,99,5.0,2.52
Gryazovets,RU,58.88,40.2525,1619514474,98,56,6.72,2.95
Malakal,SS,9.5334,31.6605,1619514659,22,36,33.33,2.91
Masuguru,TZ,-11.3667,38.4167,1619514659,97,78,26.65,2.12
Poum,NC,-20.2333,164.0167,1619514660,100,66,24.58,11.17
Fort Nelson,CA,58.8053,-122.7002,1619514660,90,85,-10.0,6.17
Morehead,US,37.2711,-87.1764,1619514660,1,59,18.0,4.63
Shingū,JP,33.7333,135.9833,1619514640,75,37,19.0,5.14
Lakhisarai,IN,25.1768,86.0932,1619514660,63,3,42.42,3.52
Ancud,CL,-41.8697,-73.8203,1619514419,90,94,12.0,4.12
Moerai,PF,-22.4333,-151.3333,1619514661,54,76,25.43,5.48
Emmett,US,43.8735,-116.4993,1619514661,81,94,5.0,0.06
Dingle,PH,10.9995,122.6711,1619514661,27,61,29.5,5.31
Labuhan,ID,-6.8844,112.2051,1619514661,82,66,29.94,3.33
Margate,GB,51.3813,1.3862,1619514513,32,82,10.0,3.08
Andenes,NO,69.3143,16.1194,1619514662,75,60,3.0,4.63
Makkah al Mukarramah,SA,21.4267,39.8261,1619514601,0,21,35.68,2.46
Qurayyat,SA,31.3318,37.3428,1619514662,0,40,22.0,7.2
Contamana,PE,-7.3333,-75.0167,1619514662,93,99,20.23,0.85
Tilichiki,RU,60.4667,166.1,1619514663,100,98,-1.27,1.84
Sain Alto,MX,23.5833,-103.25,1619514663,94,42,16.42,1.4
Alofi,NU,-19.0595,-169.9187,1619514663,75,89,27.0,2.57
Havelock,US,34.8791,-76.9013,1619514488,20,93,17.22,2.52
Hanstholm,DK,57.1167,8.6167,1619514663,0,46,8.89,0.45
Port Macquarie,AU,-31.4333,152.9167,1619514515,0,90,16.67,3.22
Cravo Norte,CO,6.3017,-70.2041,1619514664,99,82,24.56,1.89
Lensk,RU,60.7253,114.9278,1619514493,100,68,-2.03,3.2
Ettaiyapuram,IN,9.1441,77.9907,1619514664,40,46,36.0,5.14
Moose Factory,CA,51.2585,-80.6094,1619514664,90,51,2.0,3.09
Kilindoni,TZ,-7.9139,39.6668,1619514664,77,83,26.47,4.52
Jiujiang,CN,29.7333,115.9833,1619514445,100,88,17.9,0.26
Danielskuil,ZA,-28.1887,23.5395,1619514665,88,28,22.39,4.3
Turukhansk,RU,65.8167,87.9833,1619514665,59,97,2.65,6.27
Bintulu,MY,3.1667,113.0333,1619514611,20,74,30.0,1.54
Pahlgām,IN,34.0333,75.3333,1619514665,100,45,14.29,1.23
Mackay,AU,-21.15,149.2,1619514646,40,73,23.0,5.14
Městec Králové,CZ,50.2072,15.2976,1619514666,0,40,9.0,6.17
Zharkent,KZ,44.1628,80.0,1619514449,44,15,26.34,3.5
Kencong,ID,-8.2833,113.3667,1619514461,40,70,28.14,3.57
Ellisras,ZA,-23.6649,27.7443,1619514667,0,12,29.33,1.55
Livny,RU,52.4253,37.6069,1619514472,42,57,5.91,5.79
Hervey Bay,AU,-25.2986,152.8535,1619514667,2,71,20.0,0.45
Jalu,LY,29.0331,21.5482,1619514667,0,18,27.18,2.83
Vestmannaeyjar,IS,63.4427,-20.2734,1619514667,40,87,7.0,3.09
Sisimiut,GL,66.9395,-53.6735,1619514667,85,91,0.55,3.98
Kariba,ZW,-16.5167,28.8,1619514667,6,43,28.92,1.06
Teguise,ES,29.0605,-13.564,1619514668,40,60,21.0,2.57
Prince Albert,CA,53.2001,-105.7677,1619514510,75,51,-1.0,4.63
Astoria,US,46.1879,-123.8313,1619514418,90,93,8.89,1.54
Pacific Grove,US,36.6177,-121.9166,1619514678,40,71,11.0,2.06
Weiser,US,44.251,-116.9693,1619514678,1,86,2.78,1.54
Bereket,TM,39.2446,55.5154,1619514678,30,14,35.92,3.97
Sinnamary,GF,5.3833,-52.95,1619514678,100,93,24.29,3.55
